Latitude_deg,Longitude_deg,Altitude_m
0.0,9.590385668172686,91424.28352374653
0.0,9.623331028404758,91328.33993103239
0.0,9.656203976577325,91231.75787590374
0.0,9.689004499308439,91134.53654226358
0.0,9.721732583039408,91036.6751307305
0.0,9.75438821403452,90938.17285868898
0.0,9.786971378380859,90839.02896033903
0.0,9.819482061988042,90739.24268675013
0.0,9.851920250588075,90638.81330590718
0.0,9.884285929735121,90537.74010276631
0.0,9.916579084805349,90436.02237930382
0.0,9.948799700996771,90333.65945457155
0.0,9.98094776332909,90230.65066474653
0.0,10.013023256643574,90126.99536318472
0.0,10.045026165602954,90022.69292047643
0.0,10.076956474691276,89917.7427244978
0.0,10.108814168213867,89812.14418046572
0.0,10.140599230297221,89705.89671099395
0.0,10.172311644888957,89598.99975614529
0.0,10.203951395757777,89491.45277348999
0.0,10.235518466493415,89383.2552381591
0.0,10.26701284050665,89274.40664290241
0.0,10.298434501029282,89164.90649814554
0.0,10.32978343111417,89054.7543320437
0.0,10.361059613635243,88943.94969054358
0.0,10.392263031287566,88832.49213743815
0.0,10.423393666587383,88720.38125442644
0.0,10.45445150187221,88607.61664117081
0.0,10.485436519300924,88494.19791535847
0.0,10.516348700853884,88380.124712758
0.0,10.547188028333036,88265.39668728248
0.0,10.577954483362085,88150.013511047
0.0,10.608648047386636,88033.9748744315
0.0,10.639268701674382,87917.28048614087
0.0,10.66981642731529,87799.93007326778
0.0,10.700291205221829,87681.92338135326
0.0,10.73069301612918,87563.26017444977
0.0,10.761021840595506,87443.9402351852
0.0,10.79127765900219,87323.96336482489
0.0,10.821460451554149,87203.32938333577
0.0,10.851570198280108,87082.03812945099
0.0,10.881606879032939,86960.08946073428
0.0,10.911570473489984,86837.48325364524
0.0,10.941460961153435,86714.21940360428
0.0,10.971278321350676,86590.29782505985
0.0,11.001022533234714,86465.71845155372
0.0,11.030693575784577,86340.48123578844
0.0,11.060291427805724,86214.5861496944
0.0,11.089816067930554,86088.03318449715
0.0,11.119267474618836,85960.8223507863
0.0,11.148645626158205,85832.95367858466
0.0,11.177950500664695,85704.42721741507
0.0,11.207182076083267,85575.24303637375
0.0,11.236340330188359,85445.40122419596
0.0,11.26542524058446,85314.90188932931
0.0,11.294436784706718,85183.74516000319
0.0,11.32337493982155,85051.93118430208
0.0,11.352239683027285,84919.46013023425
0.0,11.381030991254828,84786.33218580717
0.0,11.40974884126834,84652.54755909834
0.0,11.438393209665952,84518.10647832765
0.0,11.466964072880483,84383.00919193425
0.0,11.495461407180196,84247.25596864731
0.0,11.523885188669585,84110.84709756263
0.0,11.552235393290152,83973.78288821527
0.0,11.580511996821246,83836.06367065758
0.0,11.608714974880892,83697.68979553459
0.0,11.636844302926674,83558.66163415834
